Location,Loc_code,Site,Site_code,Transect,Percent_Hard_coral,Percent_Reef_substrate,Percent_Soft_corals,Percent_Acropora,Percent_Poritdae,Percent_Montipora,Percent_Pocilloporidae,Percent_Favidae,Percent_Other_hard_corals,Percent_Other,Number_spp,Shannon_Weiner_H_prime,J_prime,C_aureofasciatus,C_baronessa,C_bennetti,C_lunulatus,C_melannotus,C_ornatissimus,C_plebius,C_rainfordi,C_reticulatus,C_trifascialis,C_unimaculatus,C_auriga,C_citrinellus,C_ephippium,C_flavirostris,C_kleinii,C_lineolatus,C_lunula,C_oxycephalus,C_pelewensis,C_quadrimaculatus,C_rafflesi,C_speculum,C_ulientensis,C_vagabundus,C_semion,Number_spp_present,Shannon ,Shannon_J_prime,Total_focal_spp,Total_other_spp,Total,Number_spp_OC_present,Number_spp_FC_present,Total_abundance,Total_OC_abundance,Total_FC_abundance,Coral_cov_by_corallivore_tot_abund,Coral_cov_by_OC_abun
LI,2,Lizard Head,4,1,34,48,14,22,0,2,6,4,0,4,13,0.477262743,0.071527626,0,0,0,4,0,0,0,1,0,0,0,2,6,0,0,0,0,0,0,0,0,0,0,0,1,0,5,1.361654167,0.28968655,13,1,14,2,3,14,5,9,2.4,6.8
LI,2,Lizard Head,4,2,32,52,16,16,2,2,6,4,2,0,13,0.557262743,0.083517269,0,0,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0.346733448,0.073766173,4,1,5,1,1,5,1,4,6.4,32
LI,2,Lizard Head,4,3,42,48,10,14,2,4,4,14,4,0,15,0.986550612,0.147854875,0,0,0,2,2,0,2,0,0,4,2,0,1,0,0,0,0,0,0,0,0,0,0,0,6,0,7,0.442179356,0.094071913,13,6,19,5,2,19,12,7,2.2,3.5
LI,2,Lizard Head,4,4,32,44,10,4,6,6,8,8,0,14,9,0.916355112,0.137334637,0,1,0,3,0,0,1,0,0,0,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.427421284,0.303678245,17,2,19,3,2,19,5,14,1.7,6.4
LI,2,Lizard Head,4,5,50,34,14,24,2,6,8,8,2,2,14,1.383813354,0.207392857,0,0,0,1,0,0,2,0,0,1,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2.445405013,0.520250266,10,2,12,3,1,12,4,8,4.2,12.5
LI,2,Osprey Islet,5,1,40,36,22,26,6,6,2,0,0,2,12,1.230084233,0.18435339,2,3,0,3,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1.44132029,0.306635204,4,7,11,4,1,11,10,1,3.6,4
LI,2,Osprey Islet,5,2,40,34,20,26,4,4,2,4,0,6,11,0.9952098,0.149152632,0,0,0,2,2,0,2,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,5,0.257542476,0.054791145,4,5,9,3,2,9,6,3,4.4,6.7
LI,2,Osprey Islet,5,3,24,52,22,6,12,2,2,0,2,2,7,0.367067243,0.055012566,1,2,0,7,0,0,1,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2.36594317,0.503345072,10,4,14,4,2,14,11,3,1.7,2.2
LI,2,Osprey Islet,5,4,28,24,36,4,6,6,4,2,6,12,9,0.67282149,0.100836121,0,0,0,1,3,0,2,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,7,0.795065072,0.169146956,5,7,12,5,2,12,8,4,2.3,3.5
LI,2,Osprey Islet,5,5,26,34,34,12,8,4,2,0,0,6,7,0.720796364,0.108026141,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0.820802084,0.174622404,3,2,5,3,0,5,5,0,5.2,5.2
